id,name,targets,whereToUse,ingredients,procedure,howToUse,cost
88,Drumstick Leaf Extract,Caterpillars; Aphids,Vegetables; drumstick trees,Drumstick leaves – 200 g; Water – 2 L,Crush leaves; soak overnight; filter.,Spray weekly.,20
89,Tulsi–Garlic Mix,Aphids; Thrips; Caterpillars,Vegetables; flowers,Tulsi leaves – 100 g; Garlic – 50 g; Water – 1 L,Grind tulsi and garlic; soak overnight; filter.,Spray directly.,25
90,Bottle Gourd Leaf Extract,Whiteflies; Caterpillars,Gourds; vegetables,Bottle gourd leaves – 200 g; Water – 2 L,Crush leaves; soak overnight; filter.,Spray weekly.,15
91,Ash Gourd Leaf Extract,Aphids; Whiteflies,Vegetables; gourds,Ash gourd leaves – 200 g; Water – 2 L,Crush leaves; soak overnight; filter.,Spray weekly.,20
92,Mustard Oil Spray,Aphids; Thrips; Whiteflies,Mustard fields; vegetables,Mustard oil – 20 ml; Soap water – 1 L,Mix oil with soap solution.,Spray on affected crops.,30
93,Lemon Peel Extract,Aphids; Mites; Thrips,Vegetables; fruits,Lemon peels – 200 g; Water – 2 L,Chop peels; soak overnight; filter.,Spray weekly.,25
94,Bitter Gourd Leaf Extract,Caterpillars; Aphids,Vegetables; gourds,Bitter gourd leaves – 200 g; Water – 2 L,Crush; soak overnight; filter.,Spray every 7 days.,20
95,Guava Leaf Extract,Whiteflies; Caterpillars,Guava orchards; vegetables,Guava leaves – 200 g; Water – 2 L,Crush leaves; soak overnight; filter.,Spray weekly.,15
96,Turmeric–Soap Spray,Aphids; Fungal diseases,Vegetables; pulses,Turmeric powder – 30 g; Soap solution – 1 L,Mix turmeric with soap water; stir well.,Spray directly.,20
97,Aloe–Garlic Mix,Caterpillars; Whiteflies; Aphids,Vegetables; fruits,Aloe vera gel – 50 g; Garlic – 100 g; Water – 2 L,Grind garlic; mix with aloe gel; dilute in water; filter.,Spray weekly.,30
98,Onion Peel Extract,Mites; Thrips,Vegetables; spices,Onion peels – 100 g; Water – 1 L,Soak peels in water overnight; filter.,Spray on leaves.,10
99,Neem Seed Powder Spray,Whiteflies; Aphids; Caterpillars,Vegetables; pulses; orchards,Neem seed powder – 100 g; Water – 1 L,Soak powder overnight; stir; filter.,Spray every 7–10 days.,25
100,Spinach Leaf Extract,Caterpillars; Aphids,Spinach; leafy greens,Spinach leaves – 200 g; Water – 2 L,Crush; soak; filter.,Spray directly.,15
101,Brinjal Leaf Extract,Whiteflies; Caterpillars,Brinjal fields; vegetables,Brinjal leaves – 200 g; Water – 2 L,Crush leaves; soak overnight.,Spray weekly.,15
102,Aloe–Pepper Spray,Thrips; Aphids,Vegetables; fruits,Aloe vera gel – 50 g; Red chili powder – 20 g; Water – 1 L,Mix ingredients; stir well; filter.,Spray every 7 days.,25
103,Carrot Leaf Extract,Caterpillars; Aphids,Carrot farms; vegetables,Carrot leaves – 200 g; Water – 2 L,Crush; soak; filter.,Spray on crops.,15
104,Radish Leaf Extract,Whiteflies; Aphids,Radish farms; vegetables,Radish leaves – 200 g; Water – 2 L,Crush and soak overnight; filter.,Spray weekly.,15
105,Curry Leaf Extract,Caterpillars; Whiteflies,Vegetables; spices,Curry leaves – 200 g; Water – 2 L,Crush leaves; soak overnight.,Spray weekly.,20
106,Banana Leaf Extract,Aphids; Whiteflies,Banana orchards; vegetables,Banana leaves – 200 g; Water – 2 L,Chop; soak overnight; filter.,Spray on crops.,10
107,Aloe–Curry Leaf Mix,Aphids; Thrips,Vegetables; fruits,Aloe vera gel – 50 g; Curry leaves – 100 g; Water – 1 L,Grind curry leaves; mix with aloe; filter.,Spray weekly.,25
108,Mint–Turmeric Spray,Whiteflies; Fungal diseases,Vegetables; spices,Mint leaves – 100 g; Turmeric powder – 20 g; Water – 1 L,Crush mint; mix with turmeric water; filter.,Spray directly.,20
109,Jackfruit Leaf Extract,Caterpillars; Aphids,Vegetables; jackfruit orchards,Jackfruit leaves – 200 g; Water – 2 L,Crush leaves; soak overnight.,Spray weekly.,20
110,Aloe–Fenugreek Mix,Mites; Aphids,Vegetables; spices,Aloe vera gel – 50 g; Fenugreek seeds – 50 g; Water – 1 L,Soak seeds overnight; grind; mix with aloe and water.,Spray every 10 days.,25
111,Sweet Potato Leaf Extract,Aphids; Whiteflies,Sweet potato farms; vegetables,Sweet potato leaves – 200 g; Water – 2 L,Crush leaves; soak; filter.,Spray on crops.,15
112,Groundnut Shell Extract,Caterpillars; Whiteflies,Groundnut fields; vegetables,Groundnut shells – 200 g; Water – 2 L,Boil shells; cool; filter.,Spray weekly.,15
113,Tamarind Peel Extract,Thrips; Aphids,Tamarind orchards; vegetables,Tamarind peels – 200 g; Water – 2 L,Chop peels; soak overnight.,Spray weekly.,20
114,Aloe–Jaggery Mix,Aphids; Whiteflies,Vegetables; pulses,Aloe vera gel – 50 g; Jaggery – 20 g; Water – 1 L,Mix aloe and jaggery in water.,Spray every 7 days.,15
115,Pumpkin Leaf Extract,Caterpillars; Aphids,Pumpkin fields; vegetables,Pumpkin leaves – 200 g; Water – 2 L,Crush leaves; soak overnight.,Spray weekly.,15
116,Watermelon Peel Extract,Whiteflies; Thrips,Vegetables; melons,Watermelon peel – 200 g; Water – 2 L,Chop; ferment 24 hrs; filter.,Spray weekly.,15
117,Aloe–Chili Mix,Aphids; Caterpillars,Vegetables; spices,Aloe vera gel – 50 g; Green chili – 50 g; Water – 1 L,Grind chili; mix with aloe; dilute with water; filter.,Spray every 7 days.,25
118,Gooseberry Leaf Extract,Aphids; Caterpillars,Vegetables; gooseberry orchards,Gooseberry leaves – 200 g; Water – 2 L,Crush; soak overnight; filter.,Spray weekly.,20
119,Sapota Leaf Extract,Whiteflies; Caterpillars,Vegetables; sapota orchards,Sapota leaves – 200 g; Water – 2 L,Crush leaves; soak; filter.,Spray every 10 days.,20
120,Beetroot Peel Extract,Aphids; Whiteflies,Vegetables; beetroot farms,Beetroot peels – 200 g; Water – 2 L,Chop peels; soak overnight; filter.,Spray on crops.,15
121,Papaya Leaf Extract,Whiteflies; Aphids,Papaya orchards; vegetables,Papaya leaves – 200 g; Water – 2 L,Crush leaves; soak overnight; filter.,Spray every 7–10 days.,15
122,Cabbage Leaf Extract,Caterpillars; Aphids,Cabbage fields; leafy vegetables,Cabbage leaves – 200 g; Water – 2 L,Crush leaves; soak overnight; filter.,Spray weekly.,10
123,Cauliflower Leaf Extract,Aphids; Thrips,Cauliflower fields; vegetables,Cauliflower leaves – 200 g; Water – 2 L,Crush leaves; soak overnight; filter.,Spray every 10 days.,10
124,Moringa Leaf Extract,Caterpillars; Whiteflies,Moringa orchards; vegetables,Moringa leaves – 200 g; Water – 2 L,Crush; soak overnight.,Spray weekly.,20
125,Aloe–Garlic–Turmeric Mix,Aphids; Whiteflies; Fungal infections,Vegetables; pulses,Aloe vera gel – 50 g; Garlic – 50 g; Turmeric powder – 20 g; Water – 1 L,Grind garlic; mix all; dilute with water; filter.,Spray directly.,30
126,Tomato Leaf Extract,Whiteflies; Aphids,Tomato fields; vegetables,Tomato leaves – 200 g; Water – 2 L,Crush; soak overnight.,Spray weekly.,15
127,Aloe–Lemon Spray,Aphids; Thrips,Vegetables; fruits,Aloe vera gel – 50 g; Lemon juice – 20 ml; Water – 1 L,Mix aloe and lemon juice in water; stir well.,Spray every 7 days.,20
128,Sesame Oil Spray,Mites; Aphids,Sesame; vegetables,Sesame oil – 20 ml; Soap solution – 1 L,Mix well; stir until emulsified.,Spray directly.,30
129,Aloe–Neem Mix,Whiteflies; Caterpillars,Vegetables; orchards,Aloe vera gel – 50 g; Neem seed powder – 50 g; Water – 1 L,Soak neem powder overnight; add aloe; filter.,Spray weekly.,25
130,Bottle Gourd Leaf Extract,Caterpillars; Aphids,Vegetables; gourds,Bottle gourd leaves – 200 g; Water – 2 L,Crush leaves; soak overnight.,Spray directly.,15
131,Custard Apple Leaf Extract,Whiteflies; Thrips,Custard apple orchards; vegetables,Custard apple leaves – 200 g; Water – 2 L,Crush; soak overnight.,Spray every 7 days.,20
132,Aloe–Soap Mix,Aphids; Whiteflies,Vegetables; spices,Aloe vera gel – 50 g; Soap solution – 1 L,Mix aloe with soap solution.,Spray weekly.,15
133,Pumpkin Seed Extract,Caterpillars; Aphids,Pumpkin fields; vegetables,Pumpkin seeds – 100 g; Water – 1 L,Crush seeds; soak overnight; filter.,Spray directly.,25
134,Aloe–Coriander Mix,Thrips; Aphids,Vegetables; fruits,Aloe vera gel – 50 g; Coriander leaves – 100 g; Water – 1 L,Crush coriander; mix with aloe; filter.,Spray every 10 days.,25
135,Orange Peel Extract,Aphids; Whiteflies,Vegetables; citrus orchards,Orange peels – 200 g; Water – 2 L,Chop peels; soak overnight; filter.,Spray weekly.,20
136,Aloe–Mint Mix,Whiteflies; Thrips,Vegetables; spices,Aloe vera gel – 50 g; Mint leaves – 100 g; Water – 1 L,Crush mint; mix with aloe; filter.,Spray every 7 days.,25
137,Pineapple Peel Extract,Aphids; Caterpillars,Vegetables; fruits,Pineapple peels – 200 g; Water – 2 L,Chop; soak overnight; filter.,Spray weekly.,20
138,Aloe–Fenugreek–Garlic Mix,Whiteflies; Thrips; Mites,Vegetables; pulses,Aloe vera gel – 50 g; Fenugreek seeds – 30 g; Garlic – 50 g; Water – 1 L,Soak fenugreek overnight; grind with garlic; mix with aloe; filter.,Spray every 10 days.,30
139,Aloe–Papaya Mix,Aphids; Caterpillars,Vegetables; fruits,Aloe vera gel – 50 g; Papaya leaves – 100 g; Water – 1 L,Crush papaya leaves; mix with aloe; filter.,Spray weekly.,20
140,Aloe–Banana Peel Mix,Thrips; Whiteflies,Vegetables; orchards,Aloe vera gel – 50 g; Banana peels – 100 g; Water – 1 L,Chop peels; soak overnight; add aloe; filter.,Spray every 7–10 days.,15
141,Aloe–Turmeric–Soap Mix,Fungal infections; Aphids,Vegetables; pulses,Aloe vera gel – 50 g; Turmeric powder – 20 g; Soap solution – 1 L,Mix turmeric and aloe with soap solution.,Spray directly.,20
142,Pomegranate Peel Extract,Aphids; Thrips,Vegetables; pomegranate orchards,Pomegranate peels – 200 g; Water – 2 L,Chop peels; soak overnight; filter.,Spray weekly.,20
143,Aloe–Spinach Mix,Whiteflies; Aphids,Vegetables; leafy crops,Aloe vera gel – 50 g; Spinach leaves – 100 g; Water – 1 L,Crush spinach; mix with aloe; filter.,Spray every 7 days.,15
144,Drumstick Seed Extract,Caterpillars; Aphids,Vegetables; orchards,Drumstick seeds – 50 g; Water – 1 L,Crush seeds; soak overnight; filter.,Spray weekly.,20
145,Aloe–Basil Mix,Aphids; Thrips,Vegetables; herbs,Aloe vera gel – 50 g; Basil leaves – 100 g; Water – 1 L,Crush basil; mix with aloe; filter.,Spray every 7 days.,20
146,Aloe–Clove Spray,Mites; Aphids,Vegetables; spices,Aloe vera gel – 50 g; Cloves – 10 g; Water – 1 L,Crush cloves; boil; cool; add aloe; filter.,Spray weekly.,30
147,Aloe–Onion Peel Mix,Whiteflies; Thrips,Vegetables; spices,Aloe vera gel – 50 g; Onion peels – 50 g; Water – 1 L,Soak peels overnight; add aloe; filter.,Spray every 7–10 days.,15
148,Aloe–Guava Leaf Mix,Aphids; Caterpillars,Vegetables; orchards,Aloe vera gel – 50 g; Guava leaves – 100 g; Water – 1 L,Crush guava leaves; mix with aloe; filter.,Spray weekly.,20
149,Aloe–Ash Gourd Leaf Mix,Whiteflies; Aphids,Vegetables; gourds,Aloe vera gel – 50 g; Ash gourd leaves – 100 g; Water – 1 L,Crush leaves; mix with aloe; filter.,Spray every 10 days.,15
150,Aloe–Custard Apple Leaf Mix,Caterpillars; Aphids,Vegetables; orchards,Aloe vera gel – 50 g; Custard apple leaves – 100 g; Water – 1 L,Crush leaves; mix with aloe; filter.,Spray every 7 days.,20
151,Bamboo Leaf Extract,Aphids; Caterpillars,Paddy; vegetables,Fresh bamboo leaves – 500 g; Water – 5 L,Crush leaves; soak overnight; filter.,Spray on crops once a week.,25
